PMCID,Ebola Protein,Interaction,Host Protein
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,enhance,AKIP1
PMC9042921,VP35,control,AKIP1
PMC9042921,VP35,bind,PRKACA
PMC9042921,VP35,interact,PRKACA
PMC9042921,VP35,activate,PRKACA
PMC9042921,VP35,enhance,PRKACA
PMC9042921,VP35,control,PRKACA
PMC9042921,VP35,bind,AKIP1
PMC9042921,VP35,interact,AKIP1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,enhance,AKIP1
PMC9042921,VP35,control,AKIP1
PMC9042921,VP35,bind,PRKACA
PMC9042921,VP35,interact,PRKACA
PMC9042921,VP35,activate,PRKACA
PMC9042921,VP35,enhance,PRKACA
PMC9042921,VP35,control,PRKACA
PMC9042921,VP35,activate,PRKACA
PMC9042921,VP35,express,PRKACA
PMC9042921,VP35,translocate,PRKACA
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,express,AKIP1
PMC9042921,VP35,translocate,AKIP1
PMC9042921,VP35,activate,PRKACA
PMC9042921,VP35,express,PRKACA
PMC9042921,VP35,translocate,PRKACA
PMC9042921,VP35,phosphorylate,VASP
PMC9042921,VP35,phosphorylate,CREB1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,interact,ISG15
PMC9042921,VP35,activate,ISG15
PMC9042921,VP35,inhibit,ISG15
PMC9042921,VP35,express,ISG15
PMC9042921,VP35,affect,ISG15
PMC9042921,VP35,interact,AKIP1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,inhibit,AKIP1
PMC9042921,VP35,express,AKIP1
PMC9042921,VP35,affect,AKIP1
PMC9042921,VP35,interact,AKIP1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,inhibit,AKIP1
PMC9042921,VP35,express,AKIP1
PMC9042921,VP35,affect,AKIP1
PMC9042921,VP35,associate,AKIP1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,phosphorylate,CREB1
PMC9042921,VP35,promote,CREB1
PMC9042921,VP35,phosphorylate,AKIP1
PMC9042921,VP35,promote,AKIP1
PMC9042921,VP35,activate,CREB1
PMC9042921,VP35,phosphorylate,CREB1
PMC9042921,VP35,promote,CREB1
PMC9042921,VP35,activate,CREB1
PMC9042921,VP35,suppress,CREB1
PMC9042921,VP35,phosphorylate,CREB1
PMC9042921,VP35,express,CREB1
PMC9042921,VP35,promote,CREB1
PMC9042921,VP35,activate,PRKACA
PMC9042921,VP35,suppress,PRKACA
PMC9042921,VP35,phosphorylate,PRKACA
PMC9042921,VP35,express,PRKACA
PMC9042921,VP35,promote,PRKACA
PMC9042921,VP35,activate,PRKACA
PMC9042921,VP35,suppress,PRKACA
PMC9042921,VP35,phosphorylate,PRKACA
PMC9042921,VP35,express,PRKACA
PMC9042921,VP35,promote,PRKACA
PMC9042921,VP35,induce,CREB1
PMC9042921,VP35,phosphorylate,CREB1
PMC9042921,VP35,express,CREB1
PMC9042921,VP35,activate,CREB1
PMC9042921,VP35,phosphorylate,CREB1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,phosphorylate,AKIP1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,phosphorylate,AKIP1
PMC9042921,VP35,activate,CREB1
PMC9042921,VP35,phosphorylate,CREB1
PMC9042921,VP35,activate,AKIP1
PMC9042921,VP35,phosphorylate,AKIP1
PMC9042921,VP35,phosphorylate,CREB1
PMC9042921,VP35,phosphorylate,CREB1
PMC9042921,VP35,promote,CREB1
PMC9042921,NP,phosphorylate,CREB1
PMC9042921,NP,facilitate,CREB1
PMC9042921,NP,phosphorylate,PRKACA
PMC9042921,NP,facilitate,PRKACA
PMC9042921,NP,phosphorylate,CREB1
PMC9042921,NP,facilitate,CREB1
PMC9042921,NP,phosphorylate,PRKACA
PMC9042921,NP,facilitate,PRKACA
PMC9042921,NP,phosphorylate,CREB1
PMC9042921,NP,facilitate,CREB1
PMC9042921,NP,associate,CREB1
PMC9042921,L,associate,AKIP1
PMC9042921,L,inhibit,AKIP1
PMC9042921,L,suppress,AKIP1
PMC9042921,L,associate,CREB1
PMC9042921,L,inhibit,CREB1
PMC9042921,L,suppress,CREB1
PMC9042921,L,associate,CREB1
PMC9042921,L,inhibit,CREB1
PMC9042921,L,suppress,CREB1
PMC9042921,L,interact,CREB1
PMC9042921,L,activate,CREB1
PMC9042921,L,involve,CREB1
PMC9042921,L,interact,CREB1
PMC9042921,L,activate,CREB1
PMC9042921,L,involve,CREB1
PMC9042921,L,interact,CREB1
PMC9042921,L,activate,CREB1
PMC9042921,L,involve,CREB1
PMC9042921,VP35,activate,CREB1
PMC9042921,VP35,modulate,CREB1
PMC9042921,VP35,induce,CREB1
PMC9042921,VP35,phosphorylate,CREB1
PMC9042921,VP35,express,CREB1
PMC9042921,VP35,translocate,CREB1
PMC9042921,VP35,promote,CREB1
PMC9042921,VP35,express,SerpinB2
PMC9042921,VP35,express,SerpinB2
PMC9042921,VP35,signal,SerpinB2
PMC9042921,VP35,activate,CREB1
PMC9042921,VP35,change,CREB1
PMC9042921,VP35,regulate,CREB1
PMC9042921,VP35,activate,CREB1
