Source,Relation,Target
ACTG1,involved_in(Reactome),Gap junction trafficking
ACTG1,involved_in(Reactome),Gap junction degradation
ACTG1,involved_in(Reactome),Signaling by VEGF
ACTG1,involved_in(Reactome),Signaling by Rho GTPases
ACTG1,involved_in(Reactome),RHO GTPase Effectors
ACTG1,involved_in(Reactome),Formation of annular gap junctions
ACTG1,involved_in(Reactome),Membrane Trafficking
ACTG1,involved_in(Reactome),Fcgamma receptor (FCGR) dependent phagocytosis
ACTG1,involved_in(Reactome),Regulation of actin dynamics for phagocytic cup formation
ACTG1,involved_in(Reactome),EPH-Ephrin signaling
ACTG1,involved_in(Reactome),Non-integrin membrane-ECM interactions
ACTG1,involved_in(Reactome),L1CAM interactions
ACTG1,involved_in(Reactome),EPHB-mediated forward signaling
ACTG1,involved_in(Reactome),EPH-ephrin mediated repulsion of cells
ACTG1,involved_in(Reactome),Adherens junctions interactions
ACTG1,involved_in(Reactome),Cell-cell junction organization
ACTG1,involved_in(Reactome),Axon guidance
ACTG1,involved_in(Reactome),Recycling pathway of L1
ACTG1,involved_in(Reactome),VEGFA-VEGFR2 Pathway
ACTG1,involved_in(Reactome),Interaction between L1 and Ankyrins
ACTG1,involved_in(Reactome),Cell-extracellular matrix interactions
ACTG1,involved_in(Reactome),Cell junction organization
ACTG1,involved_in(Reactome),RHO GTPases activate IQGAPs
ACTG1,involved_in(Reactome),Vesicle-mediated transport
ACTG1,involved_in(Reactome),Diseases of signal transduction by growth factor receptors and second messengers
ACTG1,involved_in(Reactome),Infectious disease
ACTG1,involved_in(Reactome),RHO GTPases Activate WASPs and WAVEs
ACTG1,involved_in(Reactome),RHO GTPases Activate Formins
ACTG1,involved_in(Reactome),RAF/MAP kinase cascade
ACTG1,involved_in(Reactome),MAP2K and MAPK activation
ACTG1,involved_in(Reactome),MAPK family signaling cascades
ACTG1,involved_in(Reactome),MAPK1/MAPK3 signaling
ACTG1,involved_in(Reactome),Signaling by moderate kinase activity BRAF mutants
ACTG1,involved_in(Reactome),Signaling by high-kinase activity BRAF mutants
ACTG1,involved_in(Reactome),Signaling by RAS mutants
ACTG1,involved_in(Reactome),Signaling by BRAF and RAF1 fusions
ACTG1,involved_in(Reactome),Paradoxical activation of RAF signaling by kinase inactive BRAF
ACTG1,involved_in(Reactome),Oncogenic MAPK signaling
ACTG1,involved_in(Reactome),Clathrin-mediated endocytosis
ACTG1,involved_in(Reactome),Signaling by Receptor Tyrosine Kinases
ACTG1,involved_in(Reactome),RHO GTPase cycle
ACTG1,involved_in(Reactome),RHOBTB2 GTPase cycle
ACTG1,involved_in(Reactome),Signaling downstream of RAS mutants
ACTG1,involved_in(Reactome),Signaling by RAF1 mutants
ACTG1,involved_in(Reactome),Leishmania infection
ACTG1,involved_in(Reactome),Sensory processing of sound
ACTG1,involved_in(Reactome),Sensory processing of sound by inner hair cells of the cochlea
ACTG1,involved_in(Reactome),Sensory processing of sound by outer hair cells of the cochlea
ACTG1,involved_in(Reactome),Parasite infection
ACTG1,involved_in(Reactome),Leishmania phagocytosis
ACTG1,involved_in(Reactome),FCGR3A-mediated phagocytosis
ACTG1,involved_in(Reactome),Nervous system development
ACTG1,involved_in(Reactome),RHOBTB GTPase Cycle
ACTG1,involved_in(Reactome),Sensory Perception
ACTG1,involved_in(Reactome),"Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
ACTG1,involved_in(Reactome),Parasitic Infection Pathways
ACTG1,involved_in(Reactome),Formation of the dystrophin-glycoprotein complex (DGC)
ADA,involved_in(Reactome),Metabolism
ADA,involved_in(Reactome),Metabolism of nucleotides
ADA,involved_in(Reactome),Disease
ADA,involved_in(Reactome),Diseases of metabolism
ADA,involved_in(Reactome),Purine salvage
ADA,involved_in(Reactome),Nucleotide salvage
ADA,involved_in(Reactome),Nucleotide salvage defects
ADA,involved_in(Reactome),Defective ADA disrupts (deoxy)adenosine deamination
ADA,involved_in(Reactome),Diseases of nucleotide metabolism
ADA,involved_in(Reactome),Drug ADME
ADA,involved_in(Reactome),Ribavirin ADME
ADAR,involved_in(Reactome),Antiviral mechanism by IFN-stimulated genes
ADAR,involved_in(Reactome),Cytokine Signaling in Immune system
ADAR,involved_in(Reactome),Immune System
ADAR,involved_in(Reactome),mRNA Editing: A to I Conversion
ADAR,involved_in(Reactome),mRNA Editing
ADAR,involved_in(Reactome),C6 deamination of adenosine
ADAR,involved_in(Reactome),Formation of editosomes by ADAR proteins
ADAR,involved_in(Reactome),Metabolism of RNA
ADAR,involved_in(Reactome),Interferon alpha/beta signaling
ADAR,involved_in(Reactome),Interferon Signaling
ADAR,involved_in(Reactome),PKR-mediated signaling
AFP,involved_in(Reactome),Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
AFP,involved_in(Reactome),Metabolism of proteins
AFP,involved_in(Reactome),Post-translational protein modification
AFP,involved_in(Reactome),Post-translational protein phosphorylation
AGRN,involved_in(Reactome),Developmental Biology
AGRN,involved_in(Reactome),Metabolism
AGRN,involved_in(Reactome),Extracellular matrix organization
AGRN,involved_in(Reactome),Glycosaminoglycan metabolism
AGRN,involved_in(Reactome),Heparan sulfate/heparin (HS-GAG) metabolism
AGRN,involved_in(Reactome),Disease
AGRN,involved_in(Reactome),Chondroitin sulfate/dermatan sulfate metabolism
AGRN,involved_in(Reactome),Metabolism of vitamins and cofactors
AGRN,involved_in(Reactome),A tetrasaccharide linker sequence is required for GAG synthesis
AGRN,involved_in(Reactome),HS-GAG biosynthesis
AGRN,involved_in(Reactome),HS-GAG degradation
AGRN,involved_in(Reactome),Integrin cell surface interactions
AGRN,involved_in(Reactome),Visual phototransduction
AGRN,involved_in(Reactome),Non-integrin membrane-ECM interactions
AGRN,involved_in(Reactome),ECM proteoglycans
AGRN,involved_in(Reactome),Diseases associated with glycosaminoglycan metabolism
AGRN,involved_in(Reactome),"Defective B4GALT7 causes EDS, progeroid type"
AGRN,involved_in(Reactome),Defective B3GAT3 causes JDSSDHD
