DrugBankID,Name,Type,Groups,Targets,Pathways,Synonyms
DB17199,AAG-1,small molecule,investigational,,,"Flag-003 free base|Furo(2,3-d)pyrimidin-4-amine, n-(4-methoxyphenyl)-n,2,6-trimethyl-|N-(4-methoxyphenyl)-n,2,6-trimethylfuro(2,3-d) pyrimidin-4-amine"
DB17200,PF-4136309,small molecule,investigational,,,"Benzamide, n-(2-((3s)-3-((trans-4-hydroxy-4-(5-(2-pyrimidinyl)- 2-pyridinyl)cyclohexyl)amino)-1-pyrrolidinyl)-2-oxoethyl)-3-(trifluoromethyl)-|N-(2-((3s)-3-((trans-4-hydroxy-4-(5-(pyrimidin-2-yl)pyridin-2- yl)cyclohexyl)amino)pyrrolidin-1-yl)-2-oxoethyl)-3-(trifluoromethyl)benzamide"
DB17201,Arcitumomab,biotech,investigational,,,"Immunoglobulin g 1 (mouse monoclonal immu-4 fab' fragment .gamma.-chain anti-human antigen cea), disulfide with mouse monoclonal immu-4 light chain|Immunoglobulin g 1 (mouse monoclonal immu-4 fab' fragment .gamma.-chain anti-human antigen cea), disulphide with mouse monoclonal immu-4 light chain"
DB17202,Apomorphine palmitate,small molecule,investigational,,,"Dihexadecanoylapomorphine|Dipalmitoyl apomorphine|Hexadecanoic acid, 5,6,6a,7-tetrahydro-6-methyl-4h-dibenzo(de,g)quinoline-10,11-diyl ester, (r)-"
DB17203,XMMME-001-RTA,biotech,investigational,,,Antimelanoma antibody XMMME-001-RTA|XOMAZYME-Mel
DB17204,P-2045 Re-188,biotech,investigational,,,Re188 P2045 somatostatin analog|Re188 P2045 somatostatin peptide analogue|Rhenium Re-188 P-2045|Rhenium Re-188 P2045
DB17205,APVO-436,biotech,investigational,,,
DB17206,ALM201,biotech,investigational,,,
DB17207,OS2966,biotech,investigational,,,
DB17208,Disitamab vedotin,biotech,investigational,,,RC48
DB17209,Urabrelimab,biotech,investigational,,,"Immunoglobulin igg4, anti-(human cd47) (human monoclonal srf231 .gamma.4-chain), disulfide with human monoclonal srf231 .kappa.-chain, dimer"
DB17210,KAb201,biotech,investigational,,,Anti-CEA sheep-human chimeric monoclonal antibody labeled w/iodine-131 (KAb201)|I131-KAb201
DB17211,Etevritamab,biotech,investigational,,,"anti-EGFRvIII x anti-CD3 bispecific T cell engager antibody construct|Anti-egfrviii/cd3 bite antibody amg 596|IMMUNOGLOBULIN SCFV-SCFV, ANTI-(HOMO SAPIENS EGFR (EPIDERMAL GROWTH FACTOR RECEPTOR, RECEPTOR TYROSINE-PROTEIN KINASE ERBB-1, ERBB1, HER1, HER-1, ERBB) VARIANT III (EGFRVIII)) AND ANTI-(HOMO SAPIENS CD3E (CD3 EPSILON, LEU-4)), MONOCLONAL ANTIBODY SINGLE|IMMUNOGLOBULIN, BISPECIFIC, ANTI-(HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR VARIANT III) (HUMAN MONOCLONAL EGFRVIII BISPECIFIC 1 SINGLE-CHAIN VARIABLE FRAGMENT VH1-(GGGGS)3-VL1) FUSION PROTEIN WITH PEPTIDE LINKER (GGGGS) FUSION PROTEIN WITH IMMUNOGLOBULIN A"
DB17212,DP-303c,biotech,investigational,,,ADC DP303c|antibody-drug conjugate DP303c
DB17213,hu3S193,biotech,investigational,,,Anti-Lewis Y monoclonal antibody 3S193|mAb Hu3S193 - Anti-LeY|RebmAb-100
DB17214,Murlentamab,biotech,investigational,,,Murlentamab
DB17215,SBT-100,biotech,investigational,,,anti-STAT3 B VHH13|Anti-STAT3 B VHH13 single domain antibody
DB17216,XomaZyme-791,biotech,investigational,,,79IT/36-RTA|XMMCO-791/RTA|XomaZyme 791|XomaZyme791
DB17217,Lerapolturev,biotech,investigational,,,
DB17218,MP-0250,biotech,investigational,,,Designed ankyrin repeat protein (MP0250)|VEGF/HGF-targeting darpin MP0250
DB17219,Redaporfin,small molecule,investigational,,,"3,3',3'',3'''-(7,8,17,18-tetrahydroporphyrin-5,10,15,20-tetrayl)tetrakis(2,4-difluoro-n-methylbenzenesulfonamide)|Benzenesulfonamide, 3,3',3'',3'''-(7,8,17,18-tetrahydro-21h,23h-porphine-5,10,15,20-tetrayl)tetrakis(2,4-difluoro-n-methyl-|Redaporfin"
DB17220,ALT-P7,biotech,investigational,,,ADC ALT-P7|HM2-MMAE|HM2/MMAE ADC ALT-P7
DB17221,Pritumumab,biotech,investigational,,,Pritumumab
DB17222,Tamrintamab pamozirine,biotech,investigational,,,Tamrintamab pamozirine
DB17223,Paclitaxel ceribate,small molecule,investigational,,,Paclitaxel ceribate|Protaxel
DB17224,STRO-001,biotech,investigational,,,"Anti-CD74 antibody-drug conjugate STRO-001|antibody-drug conjugate comprised of a human aglycosylated anti-CD74 IgG1 antibody (SP7219) and two non-cleavable maytansinoid linker warheads|STRO-001, a site-specific anti-CD74 antibody-drug conjugate"
DB17225,XMMME-001-DTPA 111 Indium,biotech,investigational,,,Antimelanoma antibody XMMME-001-DTPA 111 Indium
DB17226,Aspacytarabine,small molecule,investigational,,,"Astarabine|L-asparagine, n-(1-.beta.-d-arabinofuranosyl-1,2-dihydro-2-oxo-4-pyrimidinyl)-|N4-(1-.beta.-d-arabinofuranosyl-2-oxo-1,2-dihydropyrimidin-4-yl)-l-asparagine"
DB17227,TVI-Brain-1,biotech,investigational,,,Attenuated autologous cancer cells and granulocyte macrophage colony stimulating factor in combination with activated autologous blood derived T-cells
DB17228,APC8020,biotech,investigational,,,Mylovenge
DB17229,PRGN-3006,biotech,investigational,,,"Autologous CD3+ T cells genetically modified using a non-viral system to express a CD33 CAR, membrane bound Interleukin-15, and a truncated form of human HER1t (kill switch) on the cell surface|PRGN-3006 UltraCAR-T"
DB17230,Vadacabtagene leraleucel,biotech,investigational,,,
DB17231,Orvacabtagene autoleucel,biotech,investigational,,,JCARH125 CONSISTS OF HUMAN CULTURE EXPANDED GENETICALLY MODIFIED AUTOLOGOUS T CELLS FOR CELL-BASED GENE THERAPY. CD4+ CD8+ T CELLS ARE DERIVED FROM ISOLATED BLOOD OF THE PATIENT AND ARE TRANSDUCED WITH NON-REPLICATIVE SELF-INACTIVATING (SIN) LENTIVIRAL V|orva-cel
DB17232,JCAR014,biotech,investigational,,,
DB17233,Letetresgene autoleucel,biotech,investigational,,,NY-ESO TCR therapeutic|NY-ESO-1 T cell receptor|NY-ESO-1 TCR T
DB17234,Bomedemstat,small molecule,investigational,,,"Benzamide, n-((1s)-4-(((1r,2s)-2-(4-fluorophenyl)cyclopropyl)amino)-1-((4-methyl-1-piperazinyl)carbonyl)butyl)-4-(1h-1,2,3-triazol-1-yl)-|N-((1s)-4-(((1r,2s)-2-(4-fluorophenyl)cyclopropyl)amino)-1-((4-methyl-1-piperazinyl)carbonyl)butyl)-4-(1h-1,2,3-triazol-1-yl)benzamide"
DB17235,Linperlisib,small molecule,investigational,,,"Methanesulfonamide, n-(5-(6-fluoro-8-((4-(1-hydroxy-1-methylethyl)-1-piperidinyl)methyl)-2-(4-morpholinyl)-4-quinazolinyl)-2-methoxy-3-pyridinyl)-|N-(5-(6-fluoro-8-((4-(2-hydroxypropan-2-yl) piperidin-1-yl)methyl)-2-morpholinoquinazolin-4-yl)-2-methoxypyridin-3-)methanesulfonamide|N-[5-(6-fluoro-8-{[4-(2-hydroxypropan-2-yl) piperidin-1-yl]methyl}-2-morpholinoquinazolin-4-yl)-2-methoxypyridin-3-]methanesulfonamide|N-[5-(6-fluoro-8-{[4-(2-hydroxypropan-2-yl)piperidin-1-yl]methyl}-2-morpholinoquinazolin-4-yl)-2-methoxypyridin-3-yl]methanesulfonamide|Pi3k.delta.-in-2"
DB17236,ONO-7579,small molecule,investigational,,,1-[2-[4-(2-amino-5-chloropyridin-3-yl)phenoxy]pyrimidin-5-yl]-3-[2-methylsulfonyl-5-(trifluoromethyl)phenyl]urea
DB17237,PHI-101,small molecule,investigational,,,"2-thiophenecarboxamide, 3-((aminocarbonyl)amino)-5-(2-(3-fluorophenyl)ethynyl)-n-(3s)-3-piperidinyl-|N-(2-(n-((3s)(3-piperidyl))carbamoyl)-5-(2-(3-fluorophenyl)ethynyl)(3-thienyl))aminamide|PHI101"
DB17238,SUN-101,small molecule,investigational,,,(2R)-4-(ethylamino)-1-[4-[[(2R)-4-(ethylamino)-2-hydroxybutyl]amino]butylamino]butan-2-ol
DB17239,Cantuzumab mertansine,biotech,investigational,,,"Immunoglobulin g1, anti-(mucin canag) (human-mouse monoclonal c242 heavy chain), disulfide with human-mouse monoclonal c242 light chain, dimer, compound with n(sup 2')-deacetyl-n(sup 2')-(3-mercapto-1-oxopropyl)maytansine (1:4)|Immunoglobulin g1, anti-(mucin canag) (human-mouse monoclonal c242 heavy chain), disulphide with human-mouse monoclonal c242 light chain, dimer, compound with n(sup 2')-deacetyl-n(sup 2')-(3-mercapto-1-oxopropyl)maytansine (1:4)|Immunoglobulin g1, anti-(mucin canag) human-mouse monoclonal c242 heavy chain), disulfide with human-mouse monoclonal c242 light chain, dimer, compound with n(sup 2')-deacetyl-n(sup 2')-(3-sulfanylpropanoyl)maytansine|Immunoglobulin g1, anti-(mucin canag) human-mouse monoclonal c242 heavy chain), disulphide with human-mouse monoclonal c242 light chain, dimer, compound with n(sup 2')-deacetyl-n(sup 2')-(3-sulphanylpropanoyl)maytansine|Maytansine, n2-deacetyl-n2-(3-mercapto-1-oxopropyl)-, conjugated humanized c242 monoclonal antibody|N2'-deacetyl-n2'-(3-mercapto-1-oxopropyl)-maytansine -conjugated humanized c242 monoclonal antibody"
DB17240,Avicin D,small molecule,investigational,,,Elliptoside e
DB17241,Azurin-p28,biotech,investigational,,,
DB17242,BCL-005,biotech,investigational,,,BCL-005 (fused (hybrid) melanoma-dendritic cells)
DB17243,GI-101,biotech,investigational,,,
DB17244,G100,biotech,investigational,,,GLA-SE|Glucopyranosyl Lipid A Stable Emulsion
DB17245,Golnerminogene pradenovec,biotech,investigational,,,ADgvEGR.TNF.11D|TNFerade
DB17246,OTX-2002,biotech,investigational,,,
DB17247,Bisantrene,small molecule,investigational,,,"9,10-anthracenedicarboxaldehyde bis(2-imidazolin-2-ylhydrazone)|9,10-anthracenedicarboxaldehyde, bis((4,5-dihydro-1h-imidazol-2-yl)hydrazone)"
DB17248,Adegramotide,small molecule,investigational,,,"Adegrapepimut-s|Human wilms tumor protein (wt33)-(34-51)-peptide|L-leucine, l-tryptophyl-l-alanyl-l-prolyl-l-valyl-l-leucyl-l-.alpha.-aspartyl-l-phenylalanyl-l-alanyl-l-prolyl-l-prolylglycyl-l-alanyl-l-seryl-l-alanyl-l-tyrosylglycyl-l-seryl-|Trp-ala-pro-val-leu-asp-phe-ala-pro-pro-gly-ala-ser-ala-tyr-gly-ser-leu"
DB17249,Nelatimotide,small molecule,experimental,,,
DB17250,MDX-210,biotech,investigational,,,Bispecific antibody 520c9x22|BsAb 520C9x22|BsAb 520C9xH22
DB17251,ISB 1342,biotech,investigational,,,
DB17252,Eluvixtamab,biotech,investigational,,,A cd33/cd3 bispecific t-cell engager antibody for acute myeloid leukemia therapy
DB17253,Fimaporfin,small molecule,investigational,,,"4,4'-(15,20-diphenyl-7,8(or 12,13 or 17,18)-dihydro-21h,23h-porphine-5,10-diyl)bisbenzenesulfonic acid, mixture of three isomers a, b and c (25%, 50%, 25%)|Amphinex|Benzenesulfonic acid, 4,4'-(7,8(or 17,18)-dihydro-10,15(or 15,20)-diphenyl-21h,23h-porphine-5,20(or 5,10)-diyl)bis-"
DB17254,Pacanalotamab,biotech,investigational,,,Bispecific t-cell engager antibody with a single chain fc moiety that binds to b cell maturation antigen surface receptor and cd3
DB17255,Etoposide toniribate,small molecule,investigational,,,"((4rs)-2,2-dimethyl-1,3-dioxolan-4-yl)methyl4-((5r,5ar,8ar,9s)-9-((4,6-o-((1r)-ethane-1,1-diyl)-.beta.-d-glucopyranosyl)oxy)-6-oxo-5,5a,6,8,8a,9-hexahydro-2h-furo(3',4':6,7)naphtho(2,3-d)(1,3)dioxol-5-yl)-2,6-dimethoxyphenyl carbonate|Carbonic acid, (2,2-dimethyl-1,3-dioxolan-4-yl)methyl 4-((5r,5ar,8ar,9s)-9-((4,6-o-(1r)-ethylidene-.beta.-d-glucopyranosyl)oxy)-5,5a,6,8,8a,9-hexahydro-6-oxofuro(3',4':6,7)naphtho(2,3-d)-1,3-dioxol-5-yl)-2,6-dimethoxyphenyl ester|Provp-16i"
DB17256,Tarlatamab,biotech,investigational,,,"Immunoglobulin scfv-scfv-scfc, anti-(homo sapiens dll3 (delta-like ligand 3)) and anti-(homo sapiens cd3e (cd3 epsilon, leu-4)), monoclonal antibody single chain (scfv)2-scfc, bispecific"
DB17257,JS-K,small molecule,investigational,,,"1-piperazinecarboxylic acid, 4-((2,4-dinitrophenoxy)-nno-azoxy)-, ethyl ester|1-piperazinecarboxylic acid, 4-(2-(2,4-dinitrophenoxy)-1-oxidodiazenyl)-, ethyl ester|O2-(2,4-dinitrophenyl) 1-((4-ethoxycarbonyl)piperazin-1-yl)diazen-1-ium-1,2-diolate|O2-(2,4-dinitrophenyl) 1-((4-ethoxycarbonyl)piperazin-1yl)diazen-1-ium-1,2-diolate"
DB17258,M-032,biotech,investigational,,,M 032|M032
DB17259,Butylidenephthalide,small molecule,investigational,,,"1(3h)-isobenzofuranone, 3-butylidene-|3-butylidenephthalide|3-butylidenephthalide, mixture of cis and trans isomers|Ligusticum lactone|N-butylidenephthalide, (e)+(z)|Phthalide, 3-butylidene-"
